City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
wlingi,-8.0776,112.3311,79.14,74,100,2.3,ID,1612055051
fortuna,40.5982,-124.1573,53.01,87,90,21.85,US,1612055052
alihe,50.5667,123.7167,-16.56,84,100,0.31,CN,1612055052
tuatapere,-46.1333,167.6833,66.83,45,100,0.78,NZ,1612055052
dum duma,27.5667,95.5667,57.2,88,40,3.44,IN,1612055052
sur,22.5667,59.5289,65.21,52,0,3.22,OM,1612055052
vardo,70.3705,31.1107,25.18,95,100,19.01,NO,1612054988
airai,-8.9266,125.4092,62.82,100,100,5.79,TL,1612055053
labuan,5.2767,115.2417,80.6,83,20,2.3,MY,1612055053
lompoc,34.6391,-120.4579,55.0,76,1,4.61,US,1612055053
hermanus,-34.4187,19.2345,64.99,86,0,9.35,ZA,1612055054
ribeira grande,38.5167,-28.7,63.16,91,97,22.06,PT,1612055010
sungairaya,0.7,108.9,79.07,83,100,9.1,ID,1612055054
edea,3.8,10.1333,80.6,100,40,2.3,CM,1612055054
healdsburg,38.6105,-122.8692,57.0,54,40,8.05,US,1612055055
homer,59.6425,-151.5483,30.2,64,1,4.61,US,1612055055
hithadhoo,-0.6,73.0833,81.68,79,24,14.23,MV,1612054845
mataura,-46.1927,168.8643,71.98,37,96,3.56,NZ,1612055055
peru,40.7537,-86.0689,30.99,100,90,16.11,US,1612055055
banjar,-8.19,114.9675,82.4,78,40,10.36,ID,1612055056
kurumkan,54.3,110.3,-20.2,76,26,2.13,RU,1612055056
brae,60.3964,-1.353,33.8,93,75,1.14,GB,1612054830
grand gaube,-20.0064,57.6608,75.99,85,4,1.99,MU,1612055056
tasiilaq,65.6145,-37.6368,21.2,33,90,13.8,GL,1612055013
port elizabeth,-33.918,25.5701,62.6,94,0,6.91,ZA,1612054796
butaritari,3.0707,172.7902,81.32,78,30,18.86,KI,1612055057
port blair,11.6667,92.75,79.09,78,0,6.67,IN,1612054986
usinsk,65.9939,57.5281,-2.56,92,100,10.33,RU,1612055057
havre-saint-pierre,50.2334,-63.5986,19.4,73,90,11.5,CA,1612055042
buedu,8.2803,-10.3719,70.68,87,29,2.48,SL,1612055057
sidhpura,27.6333,78.8833,46.08,54,0,4.09,IN,1612055058
bathsheba,13.2167,-59.5167,78.8,73,75,19.57,BB,1612055032
vallenar,-28.5708,-70.7581,65.48,62,0,1.57,CL,1612055058
nyimba,-14.5566,30.8149,68.65,95,100,2.33,ZM,1612055058
porto novo,6.4965,2.6036,84.2,84,40,11.5,BJ,1612055058
rawson,-43.3002,-65.1023,60.66,59,22,14.81,AR,1612054237
ambon,-3.6954,128.1814,87.8,62,20,8.05,ID,1612055059
russell,32.3502,-85.1999,53.6,62,40,5.75,US,1612054806
kodiak,57.79,-152.4072,32.0,55,1,19.57,US,1612055014
san quintin,30.4833,-115.95,58.86,68,0,10.45,MX,1612055012
ormara,25.2088,64.6357,68.0,67,0,11.07,PK,1612055059
atasu,48.6814,71.6433,20.7,89,100,9.8,KZ,1612055060
upernavik,72.7868,-56.1549,-9.13,87,100,6.98,GL,1612054963
hobyo,5.3505,48.5268,74.84,78,55,14.52,SO,1612055060
camacha,33.0833,-16.3333,57.2,94,20,3.44,PT,1612054800
talnakh,69.4865,88.3972,-31.2,71,0,6.93,RU,1612055060
ust-shonosha,61.1531,41.343,19.08,96,99,8.5,RU,1612055061
mayo,38.8876,-76.5119,30.2,59,1,4.27,US,1612055061
castro,-24.7911,-50.0119,65.57,97,100,5.08,BR,1612055061
faya,18.3851,42.4509,55.4,66,0,4.61,SA,1612054979
bayir,37.2687,28.2167,44.6,93,0,2.3,TR,1612055061
codrington,-38.2667,141.9667,65.07,57,0,8.46,AU,1612055007
sao joao da barra,-21.6403,-41.0511,77.97,78,1,21.68,BR,1612054871
sechura,-5.5569,-80.8222,78.6,60,17,17.11,PE,1612055062
port keats,-14.25,129.55,79.66,88,100,8.7,AU,1612054984
kapaa,22.0752,-159.319,77.0,69,75,14.97,US,1612055062
rrogozhine,41.0764,19.6653,41.0,81,0,5.75,AL,1612055062
port alfred,-33.5906,26.891,62.01,92,0,1.01,ZA,1612054467
pisco,-13.7,-76.2167,73.4,68,0,17.27,PE,1612054858
danszentmiklos,47.2149,19.5469,35.6,87,75,10.36,HU,1612055063
lorengau,-2.0226,147.2712,82.87,81,100,11.12,PG,1612055063
flin flon,54.7682,-101.865,15.8,86,90,3.44,CA,1612054769
lata,40.1629,-8.3327,55.99,92,100,3.0,PT,1612055029
east london,-33.0153,27.9116,69.93,85,70,3.36,ZA,1612054857
ambilobe,-13.2,49.05,72.73,93,0,2.68,MG,1612054845
bharatpur,27.2167,77.4833,46.76,52,0,2.44,IN,1612055064
kardla,58.9978,22.7492,24.01,86,100,10.0,EE,1612055065
maltahohe,-24.8333,16.9833,72.16,21,0,10.78,NA,1612055065
palmer,42.1584,-72.3287,16.0,53,1,5.75,US,1612055065
alofi,-19.0595,-169.9187,82.4,74,100,12.66,NU,1612055065
san antonio,29.4241,-98.4936,72.0,63,1,2.26,US,1612054893
fairbanks,64.8378,-147.7164,-2.99,77,90,1.07,US,1612054798
sola,-13.8833,167.55,87.8,70,75,6.91,VU,1612054993
palmas,-10.2128,-48.3603,75.2,100,20,3.44,BR,1612055066
burns lake,54.2331,-125.7533,21.2,79,100,2.3,CA,1612055066
victor harbor,-35.5667,138.6167,69.01,62,0,1.01,AU,1612055066
chake chake,-5.2459,39.7666,77.79,84,35,10.31,TZ,1612055067
inuvik,68.3499,-133.7218,-27.4,75,100,3.58,CA,1612055004
sungaipenuh,-2.0833,101.3833,66.2,90,100,1.74,ID,1612054884
wiwili,13.6268,-85.8254,70.79,83,85,5.57,NI,1612055067
half moon bay,37.4636,-122.4286,57.2,76,90,5.75,US,1612054771
carnarvon,-24.8667,113.6333,86.0,70,6,4.61,AU,1612055008
tiarei,-17.5333,-149.3333,84.2,65,75,6.91,PF,1612055068
bosaso,11.2842,49.1816,73.04,69,72,5.39,SO,1612054815
yeniseysk,58.4497,92.1703,-36.11,79,0,3.31,RU,1612055068
ballina,-28.8667,153.5667,80.6,69,75,10.36,AU,1612055068
baruun-urt,46.6806,113.2792,5.41,95,100,2.42,MN,1612055068
qandala,11.472,49.8728,70.27,69,8,2.24,SO,1612055069
ullapool,57.8987,-5.1604,26.01,67,86,1.99,GB,1612055069
tougue,11.4667,-11.6,67.75,23,77,1.25,GN,1612055069
cayenne,4.9333,-52.3333,80.6,89,75,9.22,GF,1612055062
avera,33.194,-82.5271,48.2,46,1,5.75,US,1612054837
goundam,16.4145,-3.6708,68.31,21,99,9.24,ML,1612055070
rocha,-34.4833,-54.3333,65.75,91,100,18.12,UY,1612054789
murakami,38.2333,139.4833,35.6,75,75,25.32,JP,1612055070
zhuhai,22.2769,113.5678,68.0,63,0,8.05,CN,1612055070
salalah,17.0151,54.0924,66.2,68,0,3.44,OM,1612055071
san patricio,28.017,-97.5169,75.2,83,20,13.8,US,1612055071
rudsar,37.1376,50.288,49.51,59,0,5.55,IR,1612055071
atambua,-9.1061,124.8925,74.82,93,100,7.9,ID,1612055071
murindo,6.9848,-76.7544,75.51,87,1,3.58,CO,1612055071
tautira,-17.7333,-149.15,87.8,58,75,9.22,PF,1612054829
san cristobal,7.7669,-72.225,65.48,70,90,0.98,VE,1612055072
indianola,41.3581,-93.5574,32.0,94,100,9.37,US,1612054896
khatanga,71.9667,102.5,-47.02,78,40,0.72,RU,1612055072
dikson,73.5069,80.5464,-34.28,80,0,6.85,RU,1612055072
krasnoselkup,65.7,82.4667,-25.92,83,100,12.82,RU,1612055072
los llanos de aridane,28.6585,-17.9182,64.4,72,90,11.5,ES,1612054992
kavieng,-2.5744,150.7967,83.41,71,97,14.05,PG,1612054976
sisimiut,66.9395,-53.6735,6.3,90,74,7.65,GL,1612055073
giyon,8.5333,37.9833,56.34,41,0,11.77,ET,1612055073
hasaki,35.7333,140.8333,43.0,42,20,11.5,JP,1612054975
anloga,5.7947,0.8973,82.4,89,20,5.75,GH,1612055073
ca mau,9.1769,105.15,78.67,68,56,11.12,VN,1612054892
bani,18.2833,-70.3333,73.99,97,61,16.51,DO,1612054827
te karaka,-38.4654,177.8679,65.52,55,85,6.11,NZ,1612055074
manaure,11.7751,-72.4445,78.08,67,64,17.94,CO,1612055074
lethem,3.3803,-59.7968,79.88,71,33,12.03,GY,1612055013
onega,63.9061,38.1404,12.85,97,88,6.2,RU,1612055075
bad munstereifel,50.55,6.7667,32.0,95,73,1.99,DE,1612055075
dawlatabad,36.4141,64.9053,53.51,43,100,3.2,AF,1612055075
bereda,43.2686,-7.5406,48.99,89,100,8.01,ES,1612055075
katsuura,35.1333,140.3,52.0,45,20,6.91,JP,1612055075
zeya,53.75,127.2667,-27.63,82,99,1.63,RU,1612055075
porto empedocle,37.2934,13.5264,55.0,88,100,1.01,IT,1612055076
batagay,67.6333,134.6333,-47.88,76,71,1.21,RU,1612055037
george,-33.963,22.4617,64.4,82,0,2.3,ZA,1612055076
georgetown,5.4112,100.3354,78.8,83,20,6.78,MY,1612055030
nome,64.5011,-165.4064,-5.8,71,1,5.75,US,1612055020
roald,62.5833,6.1333,33.8,86,75,10.36,NO,1612055077
fort saint james,54.4333,-124.25,18.91,96,100,2.86,CA,1612055077
lebu,-37.6167,-73.65,56.5,85,1,12.01,CL,1612055077
seminole,28.7086,-81.2081,64.0,63,1,6.91,US,1612055077
saint-joseph,-21.3667,55.6167,78.8,65,0,8.05,RE,1612055077
algeciras,36.1333,-5.4505,57.2,77,100,23.02,ES,1612055043
khorinsk,52.1657,109.7726,-19.53,85,91,1.72,RU,1612055078
cidreira,-30.1811,-50.2056,75.67,91,92,8.34,BR,1612055036
noumea,-22.2763,166.4572,81.0,78,90,14.97,NC,1612054824
dunedin,-45.8742,170.5036,62.01,70,100,23.0,NZ,1612055078
balakirevo,56.5059,38.8432,21.18,98,100,8.16,RU,1612055079
talcahuano,-36.7167,-73.1167,59.0,100,0,4.61,CL,1612055079
nyurba,63.2842,118.3319,-39.01,81,100,2.59,RU,1612055079
salinopolis,-0.6136,-47.3561,79.11,86,100,10.74,BR,1612054975
thompson,55.7435,-97.8558,14.0,92,90,2.3,CA,1612055079
huangmei,30.1924,116.025,49.57,68,99,1.39,CN,1612055080
lakatoro,-16.0999,167.4164,85.19,63,84,9.04,VU,1612055080
vao,-22.6667,167.4833,75.83,79,100,22.26,NC,1612055052
saint-philippe,-21.3585,55.7679,78.8,65,0,8.05,RE,1612054958
belem de sao francisco,-8.7539,-38.9658,73.09,89,100,8.57,BR,1612055080
acapulco,16.8634,-99.8901,80.6,83,75,4.61,MX,1612054978
ixtapa,20.7,-105.2,73.4,78,1,9.22,MX,1612055081
hualmay,-11.0964,-77.6139,71.38,76,58,9.01,PE,1612055081
shellbrook,53.2168,-106.4011,15.8,86,90,2.3,CA,1612055081
provideniya,64.3833,-173.3,-9.26,83,100,13.06,RU,1612055030
pahrump,36.2083,-115.9839,54.0,45,0,1.01,US,1612055081
sabang,5.8933,95.3214,80.82,78,16,21.32,ID,1612055082
haverfordwest,51.8017,-4.9691,35.6,87,20,6.91,GB,1612055082
nhlangano,-27.1167,31.2,66.24,100,97,2.24,SZ,1612055082
oltu,40.5498,42.0013,23.88,87,100,8.01,TR,1612055082
kambove,-10.8764,26.5969,61.66,92,99,1.59,CD,1612055082
riviere-du-loup,47.8304,-69.5342,8.6,72,73,9.22,CA,1612055083
paamiut,61.994,-49.6678,23.92,89,0,15.23,GL,1612055020
letka,59.6011,49.4232,17.44,97,100,8.86,RU,1612055083
cabo san lucas,22.8909,-109.9124,71.01,77,20,3.44,MX,1612054991
moorhead,46.8739,-96.7676,26.6,100,90,6.91,US,1612055061
paramirim,-13.4425,-42.2389,73.08,62,7,6.49,BR,1612054888
sitka,57.0531,-135.33,41.0,52,75,4.61,US,1612054831
mandalgovi,45.7625,106.2708,5.56,79,91,21.9,MN,1612055053
paragominas,-2.9667,-47.4833,73.27,97,100,3.44,BR,1612054879
kungurtug,50.5994,97.5228,-6.97,85,100,3.06,RU,1612055084
kaitangata,-46.2817,169.8464,61.0,80,100,15.01,NZ,1612055085
kimparana,12.8347,-4.9244,69.71,21,0,8.37,ML,1612055085
opuwo,-18.0607,13.84,71.22,50,100,2.95,NA,1612055085
punta alta,-38.8759,-62.0736,61.45,57,73,14.54,AR,1612055085
hanna,51.6334,-111.9018,6.01,86,77,3.53,CA,1612054892
cap malheureux,-19.9842,57.6142,75.99,85,5,3.0,MU,1612054843
arinos,-15.9169,-46.1056,73.6,63,26,2.21,BR,1612055086
olafsvik,64.8945,-23.7142,23.16,89,30,16.17,IS,1612054973
daru,-9.0763,143.2092,80.33,80,100,13.56,PG,1612055086
husavik,66.0449,-17.3389,14.0,85,90,4.61,IS,1612054995
nola,40.922,14.5329,57.0,70,100,1.01,IT,1612055087
stornoway,58.2093,-6.3865,37.99,60,75,6.91,GB,1612055087
ilava,48.9977,18.2353,28.99,76,100,1.01,SK,1612055087
ahipara,-35.1667,173.1667,72.28,49,0,5.99,NZ,1612055087
laurens,32.4502,-82.9165,50.0,53,1,4.61,US,1612055087
mogadishu,2.0371,45.3438,74.7,84,16,16.69,SO,1612055028
ilulissat,69.2167,-51.1,6.8,66,90,6.91,GL,1612055037
omsukchan,62.5333,155.8,-29.65,81,100,12.24,RU,1612055088
bayanday,53.0661,105.5139,-23.89,82,100,9.57,RU,1612055088
sorland,67.667,12.6934,30.34,89,98,7.67,NO,1612055029
flinders,-34.5833,150.8552,68.0,95,100,1.01,AU,1612055089
pitimbu,-7.4706,-34.8086,78.8,83,0,5.75,BR,1612054839
pevek,69.7008,170.3133,-33.25,84,9,2.08,RU,1612055089
kofele,7.0667,38.7833,46.35,49,0,9.62,ET,1612055089
campbell river,50.0163,-125.2446,44.01,93,75,14.97,CA,1612054800
lucapa,-8.4192,20.7447,65.23,96,100,1.88,AO,1612055090
antofagasta,-23.65,-70.4,66.2,82,20,11.5,CL,1612055090
altay,47.8667,88.1167,8.65,76,0,3.15,CN,1612055090
burnie,-41.0667,145.9167,61.68,69,87,5.66,AU,1612055090
meulaboh,4.1363,96.1285,75.97,83,58,4.41,ID,1612055090
port shepstone,-30.7414,30.455,74.91,88,100,2.53,ZA,1612055090
bilibino,68.0546,166.4372,-26.52,79,0,5.53,RU,1612055091
kumbo,6.2,10.6667,59.47,32,0,5.21,CM,1612055091
padang,-0.9492,100.3543,77.65,75,98,3.78,ID,1612055079
hokitika,-42.7167,170.9667,62.69,63,0,9.1,NZ,1612054810
narsaq,60.9167,-46.05,39.2,30,75,31.07,GL,1612055091
anadyr,64.75,177.4833,-4.0,71,20,26.84,RU,1612055092
kungsbacka,57.4872,12.0761,15.8,86,0,2.3,SE,1612055092
atchison,39.563,-95.1216,39.0,94,100,15.9,US,1612055092
poronaysk,49.2167,143.1167,3.52,86,100,6.04,RU,1612055092
asau,46.4333,26.4,37.0,80,90,13.8,RO,1612054857
portland,45.5234,-122.6762,48.99,81,90,13.8,US,1612054255
aswan,24.0934,32.907,53.35,41,0,8.72,EG,1612054821
lake cowichan,48.825,-124.0546,44.6,87,90,6.91,CA,1612054805
saskylakh,71.9167,114.0833,-33.81,82,100,11.7,RU,1612054963
kupang,-10.1667,123.5833,82.4,83,75,20.71,ID,1612055091
orel-izumrud,43.4583,39.9244,48.2,53,90,13.42,RU,1612055093
jiaozuo,35.2397,113.2331,45.36,47,100,6.71,CN,1612055094
port lincoln,-34.7333,135.8667,66.67,63,7,14.32,AU,1612055094
astoria,46.1879,-123.8313,46.0,87,90,5.75,US,1612055094
port augusta,-32.5,137.7667,71.6,60,89,14.97,AU,1612055094
saint-augustin,51.226,-58.6502,28.81,92,100,16.96,CA,1612055094
berlevag,70.8578,29.0864,26.6,80,0,8.05,NO,1612055095
bithur,26.6333,80.2833,42.8,87,90,5.01,IN,1612055095
te anau,-45.4167,167.7167,65.84,47,62,6.38,NZ,1612055095
biltine,14.5333,20.9167,68.29,22,0,12.77,TD,1612055031
kondinskoye,59.6481,67.41,14.4,96,100,9.75,RU,1612055095
sassandra,4.95,-6.0833,77.56,91,5,7.05,CI,1612055095
pervomayskiy,53.2485,40.2871,30.0,91,100,20.96,RU,1612055096
jalingo,8.8833,11.3667,74.88,19,0,3.58,NG,1612055096
tabou,4.423,-7.3528,78.46,89,6,7.72,CI,1612055096
montclair,40.8259,-74.209,28.99,40,1,9.22,US,1612055096
whitefish,48.4111,-114.3376,36.0,75,90,4.61,US,1612054869
rapid city,44.0805,-103.231,33.01,86,90,16.11,US,1612055072
bairiki,1.3292,172.9752,84.2,70,40,11.5,KI,1612054937
yulara,-25.2406,130.9889,89.6,20,40,17.27,AU,1612055097
simoes,-7.5989,-40.8178,71.13,77,100,3.51,BR,1612055097
lanigan,51.8501,-105.0344,12.2,79,68,4.61,CA,1612054898
kalmunai,7.4167,81.8167,76.39,86,100,4.83,LK,1612055098
monrovia,6.3005,-10.7969,75.2,94,40,7.99,LR,1612055098
rogaska slatina,46.2375,15.6397,37.99,88,100,6.67,SI,1612055098
imbituba,-28.24,-48.6703,78.8,89,0,5.75,BR,1612054847
nizhneudinsk,54.9076,99.0276,-32.82,80,0,0.74,RU,1612055099
iqaluit,63.7506,-68.5145,-9.0,77,1,19.57,CA,1612055099
newport,51.5877,-2.9984,39.0,90,18,3.0,GB,1612055099
nantucket,41.2835,-70.0995,19.4,49,1,14.97,US,1612055018
lasa,46.6166,10.7002,37.0,100,90,3.2,IT,1612055099
coquimbo,-29.9533,-71.3436,64.4,94,90,4.61,CL,1612055100
shimoda,34.6667,138.95,50.0,62,20,5.75,JP,1612055100
vestmanna,62.1564,-7.1664,32.0,69,40,26.46,FO,1612055100
san felipe,10.3399,-68.7425,71.11,87,89,5.08,VE,1612055100
tuy hoa,13.0833,109.3,71.4,88,100,5.88,VN,1612054822
bend,44.0582,-121.3153,44.6,53,90,8.05,US,1612055101
virginia beach,36.8529,-75.978,34.0,55,90,2.3,US,1612054932
muborak,39.2553,65.1528,47.17,50,100,7.25,UZ,1612055101
westport,41.1415,-73.3579,25.0,42,1,4.61,US,1612054967
sironj,24.1,77.7,47.64,46,0,2.13,IN,1612055102
helena,46.5927,-112.0361,35.6,48,1,6.91,US,1612054877
aquiraz,-3.9014,-38.3911,80.6,83,0,9.22,BR,1612055102
bethel,41.3712,-73.414,19.99,53,1,4.88,US,1612055102
makakilo city,21.3469,-158.0858,82.4,54,40,8.05,US,1612055102
kieta,-6.2167,155.6333,84.18,71,100,15.97,PG,1612054919
sehore,23.2,77.0833,44.6,81,0,4.61,IN,1612055103
teguldet,57.3064,88.1667,-29.29,83,0,4.18,RU,1612055103
castlebar,53.85,-9.3,39.0,14,72,1.01,IE,1612055103
sorong,-0.8833,131.25,79.99,80,100,13.53,ID,1612055104
saint-marc,19.1082,-72.6938,72.93,75,1,11.74,HT,1612055104
mujiayingzi,42.1167,118.7833,16.66,92,100,6.24,CN,1612055104
suez,29.9737,32.5263,54.09,50,0,5.82,EG,1612055104
uvalde,29.3669,-99.767,71.6,33,1,6.04,US,1612055104
uyuni,-20.4597,-66.825,56.84,33,2,5.84,BO,1612055105
lindi,-10.0,39.7167,75.22,93,100,3.76,TZ,1612055105
petropavlovsk-kamchatskiy,53.0452,158.6483,28.4,50,100,15.66,RU,1612054813
ustka,54.5805,16.8619,32.86,94,100,16.84,PL,1612055105
meadow lake,34.8014,-106.5436,44.01,36,1,11.5,US,1612055106
santa isabel do rio negro,-0.4139,-65.0192,76.8,84,2,2.98,BR,1612055106
bengkulu,-3.8004,102.2655,74.43,93,100,6.38,ID,1612055106
fort nelson,58.8053,-122.7002,-5.8,65,75,1.95,CA,1612054825
kangaba,11.9333,-8.4167,71.35,19,0,5.93,ML,1612055107
sehithwa,-20.4667,22.7167,71.08,86,100,4.52,BW,1612055107
manicore,-5.8092,-61.3003,74.91,98,67,1.74,BR,1612055107
mount gambier,-37.8333,140.7667,64.4,59,75,8.05,AU,1612055107
whitehorse,60.7161,-135.0538,-4.0,77,75,2.3,CA,1612055108
bambanglipuro,-7.95,110.2833,80.02,77,100,3.38,ID,1612055007
dingle,10.9995,122.6711,78.03,80,87,16.17,PH,1612055108
bud,39.447,-86.1758,30.99,97,100,16.26,US,1612055090
batagay-alyta,67.8006,130.4114,-36.53,80,69,2.75,RU,1612055108
souillac,-20.5167,57.5167,78.8,83,40,8.05,MU,1612054827
tazmalt,36.3868,4.3989,52.97,70,100,12.15,DZ,1612055109
buraydah,26.326,43.975,50.0,66,0,5.75,SA,1612054835
hofn,64.2539,-15.2082,21.67,83,0,18.61,IS,1612054868
puerto quijarro,-17.7833,-57.7667,78.3,66,85,3.04,BO,1612055048
rio grande,-32.035,-52.0986,75.81,91,86,13.24,BR,1612055110
vila velha,-20.3297,-40.2925,78.8,78,20,10.36,BR,1612054907
taoudenni,22.6783,-3.9836,66.13,25,0,7.45,ML,1612055110
serra,-20.1286,-40.3078,78.8,78,20,10.36,BR,1612054900
saint-pierre,-21.3393,55.4781,78.8,65,0,8.05,RE,1612055012
aklavik,68.2191,-135.0107,-16.6,76,90,5.75,CA,1612055110
alta floresta,-9.8756,-56.0861,72.37,95,86,2.35,BR,1612055111
grand-lahou,5.1367,-5.0242,79.25,88,13,9.53,CI,1612054870
vagur,61.4732,-6.8119,35.42,84,98,20.92,FO,1612055111
luchegorsk,46.4764,134.2569,-14.3,87,5,5.73,RU,1612055111
novouzensk,50.4592,48.1431,20.98,95,79,9.71,RU,1612055111
boromo,11.75,-2.9333,72.52,20,0,7.09,BF,1612055112
